date,organization,organization_id,org_type,category,quantity,unit,storage_condition,perishability_hours,urgency,is_event_day,day_of_week,month,is_weekend,is_simulated
2025-01-04,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Cooked Meals,92.43,kg,REFRIGERATED,11.9,HIGH,True,Saturday,1,True,True
2025-01-04,Metropolitan Event Center,hist-sup-003,EVENT_VENUE,Food Surplus,742.12,kg,AMBIENT,11.4,MEDIUM,True,Saturday,1,True,True
2025-01-04,Sunrise University Canteen,hist-sup-004,INSTITUTION,Cooked Meals,37.1,kg,REFRIGERATED,11.0,MEDIUM,True,Saturday,1,True,True
2025-01-04,Harvest Organic Market,hist-sup-005,INSTITUTION,Fresh Produce,122.18,kg,AMBIENT,56.2,MEDIUM,True,Saturday,1,True,True
2025-01-04,The Riverside Hotel,hist-sup-006,HOTEL,Bakery Items,18.75,kg,AMBIENT,17.5,LOW,True,Saturday,1,True,True
2025-01-05,Grand Horizon Hotel,hist-sup-001,HOTEL,Cooked Meals,107.59,kg,REFRIGERATED,10.9,LOW,True,Sunday,1,True,True
2025-01-05,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Bakery Items,20.09,kg,AMBIENT,23.3,MEDIUM,True,Sunday,1,True,True
2025-01-05,Harvest Organic Market,hist-sup-005,INSTITUTION,Bakery Items,26.44,kg,AMBIENT,32.7,LOW,True,Sunday,1,True,True
2025-01-05,The Riverside Hotel,hist-sup-006,HOTEL,Food Surplus,43.05,kg,AMBIENT,17.9,LOW,True,Sunday,1,True,True
2025-01-06,Grand Horizon Hotel,hist-sup-001,HOTEL,Food Surplus,87.36,kg,AMBIENT,43.0,LOW,True,Monday,1,False,True
2025-01-06,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Cooked Meals,20.99,kg,REFRIGERATED,11.4,HIGH,True,Monday,1,False,True
2025-01-06,Metropolitan Event Center,hist-sup-003,EVENT_VENUE,Cooked Meals,177.01,kg,REFRIGERATED,11.2,MEDIUM,True,Monday,1,False,True
2025-01-06,Sunrise University Canteen,hist-sup-004,INSTITUTION,Fresh Produce,66.71,kg,AMBIENT,70.0,CRITICAL,True,Monday,1,False,True
2025-01-06,Harvest Organic Market,hist-sup-005,INSTITUTION,Bakery Items,13.38,kg,AMBIENT,35.2,MEDIUM,True,Monday,1,False,True
2025-01-06,The Riverside Hotel,hist-sup-006,HOTEL,Food Surplus,46.31,kg,AMBIENT,29.2,LOW,True,Monday,1,False,True
2025-01-07,Grand Horizon Hotel,hist-sup-001,HOTEL,Cooked Meals,32.0,kg,REFRIGERATED,10.9,MEDIUM,True,Tuesday,1,False,True
2025-01-07,Metropolitan Event Center,hist-sup-003,EVENT_VENUE,Food Surplus,290.79,kg,AMBIENT,45.4,LOW,True,Tuesday,1,False,True
2025-01-07,Sunrise University Canteen,hist-sup-004,INSTITUTION,Cooked Meals,37.43,kg,REFRIGERATED,9.2,MEDIUM,True,Tuesday,1,False,True
2025-01-07,Harvest Organic Market,hist-sup-005,INSTITUTION,Fresh Produce,26.1,kg,AMBIENT,49.8,MEDIUM,True,Tuesday,1,False,True
2025-01-07,The Riverside Hotel,hist-sup-006,HOTEL,Bakery Items,71.11,kg,AMBIENT,20.9,LOW,True,Tuesday,1,False,True
2025-01-08,Grand Horizon Hotel,hist-sup-001,HOTEL,Food Surplus,150.12,kg,AMBIENT,8.3,HIGH,False,Wednesday,1,False,True
2025-01-08,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Cooked Meals,68.45,kg,REFRIGERATED,5.1,MEDIUM,False,Wednesday,1,False,True
2025-01-08,Metropolitan Event Center,hist-sup-003,EVENT_VENUE,Food Surplus,71.19,kg,AMBIENT,16.1,MEDIUM,False,Wednesday,1,False,True
2025-01-08,Sunrise University Canteen,hist-sup-004,INSTITUTION,Fresh Produce,48.74,kg,AMBIENT,67.6,LOW,False,Wednesday,1,False,True
2025-01-08,Harvest Organic Market,hist-sup-005,INSTITUTION,Bakery Items,6.5,kg,AMBIENT,35.5,LOW,False,Wednesday,1,False,True
2025-01-08,The Riverside Hotel,hist-sup-006,HOTEL,Food Surplus,82.05,kg,AMBIENT,8.4,LOW,False,Wednesday,1,False,True
2025-01-09,Grand Horizon Hotel,hist-sup-001,HOTEL,Cooked Meals,97.58,kg,REFRIGERATED,5.2,MEDIUM,False,Thursday,1,False,True
2025-01-09,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Cooked Meals,55.62,kg,REFRIGERATED,5.7,HIGH,False,Thursday,1,False,True
2025-01-09,Metropolitan Event Center,hist-sup-003,EVENT_VENUE,Cooked Meals,179.59,kg,REFRIGERATED,5.9,MEDIUM,False,Thursday,1,False,True
2025-01-09,Sunrise University Canteen,hist-sup-004,INSTITUTION,Cooked Meals,59.67,kg,REFRIGERATED,4.2,HIGH,False,Thursday,1,False,True
2025-01-09,Harvest Organic Market,hist-sup-005,INSTITUTION,Bakery Items,40.39,kg,AMBIENT,18.4,MEDIUM,False,Thursday,1,False,True
2025-01-09,The Riverside Hotel,hist-sup-006,HOTEL,Cooked Meals,83.17,kg,REFRIGERATED,5.8,CRITICAL,False,Thursday,1,False,True
2025-01-10,Grand Horizon Hotel,hist-sup-001,HOTEL,Food Surplus,167.4,kg,AMBIENT,34.4,MEDIUM,False,Friday,1,False,True
2025-01-10,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Cooked Meals,65.96,kg,REFRIGERATED,6.2,HIGH,False,Friday,1,False,True
2025-01-10,Sunrise University Canteen,hist-sup-004,INSTITUTION,Fresh Produce,187.06,kg,AMBIENT,32.6,HIGH,False,Friday,1,False,True
2025-01-10,Harvest Organic Market,hist-sup-005,INSTITUTION,Fresh Produce,104.2,kg,AMBIENT,40.6,MEDIUM,False,Friday,1,False,True
2025-01-10,The Riverside Hotel,hist-sup-006,HOTEL,Food Surplus,40.04,kg,AMBIENT,9.8,MEDIUM,False,Friday,1,False,True
2025-01-11,Grand Horizon Hotel,hist-sup-001,HOTEL,Cooked Meals,86.18,kg,REFRIGERATED,4.6,HIGH,False,Saturday,1,True,True
2025-01-11,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Bakery Items,41.45,kg,AMBIENT,24.2,MEDIUM,False,Saturday,1,True,True
2025-01-11,Sunrise University Canteen,hist-sup-004,INSTITUTION,Cooked Meals,50.92,kg,REFRIGERATED,9.3,MEDIUM,False,Saturday,1,True,True
2025-01-11,Harvest Organic Market,hist-sup-005,INSTITUTION,Fresh Produce,87.32,kg,AMBIENT,24.0,LOW,False,Saturday,1,True,True
2025-01-11,The Riverside Hotel,hist-sup-006,HOTEL,Food Surplus,140.85,kg,AMBIENT,20.9,MEDIUM,False,Saturday,1,True,True
2025-01-12,Grand Horizon Hotel,hist-sup-001,HOTEL,Food Surplus,225.25,kg,AMBIENT,34.4,LOW,False,Sunday,1,True,True
2025-01-12,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Bakery Items,9.28,kg,AMBIENT,34.8,LOW,False,Sunday,1,True,True
2025-01-12,Harvest Organic Market,hist-sup-005,INSTITUTION,Fresh Produce,36.03,kg,AMBIENT,27.5,MEDIUM,False,Sunday,1,True,True
2025-01-12,The Riverside Hotel,hist-sup-006,HOTEL,Cooked Meals,131.91,kg,REFRIGERATED,7.1,MEDIUM,False,Sunday,1,True,True
2025-01-13,Grand Horizon Hotel,hist-sup-001,HOTEL,Cooked Meals,160.01,kg,REFRIGERATED,10.2,MEDIUM,False,Monday,1,False,True
2025-01-13,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Bakery Items,4.72,kg,AMBIENT,18.0,HIGH,False,Monday,1,False,True
2025-01-13,Sunrise University Canteen,hist-sup-004,INSTITUTION,Fresh Produce,168.81,kg,AMBIENT,58.5,MEDIUM,False,Monday,1,False,True
2025-01-13,Harvest Organic Market,hist-sup-005,INSTITUTION,Bakery Items,32.77,kg,AMBIENT,29.8,MEDIUM,False,Monday,1,False,True
2025-01-13,The Riverside Hotel,hist-sup-006,HOTEL,Cooked Meals,98.27,kg,REFRIGERATED,7.9,MEDIUM,False,Monday,1,False,True
2025-01-14,Grand Horizon Hotel,hist-sup-001,HOTEL,Food Surplus,80.75,kg,AMBIENT,21.4,HIGH,False,Tuesday,1,False,True
2025-01-14,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Cooked Meals,22.14,kg,REFRIGERATED,4.5,HIGH,False,Tuesday,1,False,True
2025-01-14,Sunrise University Canteen,hist-sup-004,INSTITUTION,Cooked Meals,67.36,kg,REFRIGERATED,7.1,HIGH,False,Tuesday,1,False,True
2025-01-14,Harvest Organic Market,hist-sup-005,INSTITUTION,Fresh Produce,110.94,kg,AMBIENT,24.3,MEDIUM,False,Tuesday,1,False,True
2025-01-14,The Riverside Hotel,hist-sup-006,HOTEL,Bakery Items,30.43,kg,AMBIENT,29.6,MEDIUM,False,Tuesday,1,False,True
2025-01-15,Grand Horizon Hotel,hist-sup-001,HOTEL,Food Surplus,59.84,kg,AMBIENT,21.4,MEDIUM,False,Wednesday,1,False,True
2025-01-15,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Cooked Meals,64.23,kg,REFRIGERATED,11.4,CRITICAL,False,Wednesday,1,False,True
2025-01-15,Sunrise University Canteen,hist-sup-004,INSTITUTION,Cooked Meals,14.63,kg,REFRIGERATED,5.5,HIGH,False,Wednesday,1,False,True
2025-01-15,Harvest Organic Market,hist-sup-005,INSTITUTION,Bakery Items,19.24,kg,AMBIENT,30.3,MEDIUM,False,Wednesday,1,False,True
2025-01-15,The Riverside Hotel,hist-sup-006,HOTEL,Bakery Items,21.21,kg,AMBIENT,24.9,CRITICAL,False,Wednesday,1,False,True
2025-01-16,Grand Horizon Hotel,hist-sup-001,HOTEL,Cooked Meals,120.76,kg,REFRIGERATED,9.2,HIGH,False,Thursday,1,False,True
2025-01-16,Sunrise University Canteen,hist-sup-004,INSTITUTION,Cooked Meals,31.31,kg,REFRIGERATED,11.6,MEDIUM,False,Thursday,1,False,True
2025-01-16,Harvest Organic Market,hist-sup-005,INSTITUTION,Bakery Items,11.39,kg,AMBIENT,26.6,MEDIUM,False,Thursday,1,False,True
2025-01-16,The Riverside Hotel,hist-sup-006,HOTEL,Cooked Meals,118.99,kg,REFRIGERATED,6.5,HIGH,False,Thursday,1,False,True
2025-01-17,Grand Horizon Hotel,hist-sup-001,HOTEL,Food Surplus,178.6,kg,AMBIENT,15.9,HIGH,False,Friday,1,False,True
2025-01-17,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Cooked Meals,16.41,kg,REFRIGERATED,8.8,MEDIUM,False,Friday,1,False,True
2025-01-17,Sunrise University Canteen,hist-sup-004,INSTITUTION,Fresh Produce,65.87,kg,AMBIENT,55.8,LOW,False,Friday,1,False,True
2025-01-17,Harvest Organic Market,hist-sup-005,INSTITUTION,Fresh Produce,112.01,kg,AMBIENT,70.1,MEDIUM,False,Friday,1,False,True
2025-01-17,The Riverside Hotel,hist-sup-006,HOTEL,Food Surplus,39.2,kg,AMBIENT,15.0,MEDIUM,False,Friday,1,False,True
2025-01-18,Grand Horizon Hotel,hist-sup-001,HOTEL,Food Surplus,131.45,kg,AMBIENT,20.9,LOW,False,Saturday,1,True,True
2025-01-18,Sunrise University Canteen,hist-sup-004,INSTITUTION,Fresh Produce,87.99,kg,AMBIENT,56.1,MEDIUM,False,Saturday,1,True,True
2025-01-18,Harvest Organic Market,hist-sup-005,INSTITUTION,Bakery Items,16.26,kg,AMBIENT,20.2,HIGH,False,Saturday,1,True,True
2025-01-18,The Riverside Hotel,hist-sup-006,HOTEL,Bakery Items,59.91,kg,AMBIENT,24.4,LOW,False,Saturday,1,True,True
2025-01-19,Grand Horizon Hotel,hist-sup-001,HOTEL,Food Surplus,126.29,kg,AMBIENT,33.8,MEDIUM,False,Sunday,1,True,True
2025-01-19,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Cooked Meals,30.37,kg,REFRIGERATED,7.2,MEDIUM,False,Sunday,1,True,True
2025-01-19,The Riverside Hotel,hist-sup-006,HOTEL,Food Surplus,99.92,kg,AMBIENT,20.3,LOW,False,Sunday,1,True,True
2025-01-20,Grand Horizon Hotel,hist-sup-001,HOTEL,Food Surplus,52.43,kg,AMBIENT,29.4,MEDIUM,False,Monday,1,False,True
2025-01-20,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Cooked Meals,54.88,kg,REFRIGERATED,10.1,HIGH,False,Monday,1,False,True
2025-01-20,Sunrise University Canteen,hist-sup-004,INSTITUTION,Fresh Produce,64.75,kg,AMBIENT,32.6,LOW,False,Monday,1,False,True
2025-01-20,Harvest Organic Market,hist-sup-005,INSTITUTION,Bakery Items,7.63,kg,AMBIENT,34.7,MEDIUM,False,Monday,1,False,True
2025-01-20,The Riverside Hotel,hist-sup-006,HOTEL,Cooked Meals,110.73,kg,REFRIGERATED,8.6,MEDIUM,False,Monday,1,False,True
2025-01-21,Grand Horizon Hotel,hist-sup-001,HOTEL,Cooked Meals,142.09,kg,REFRIGERATED,4.9,MEDIUM,False,Tuesday,1,False,True
2025-01-21,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Cooked Meals,24.63,kg,REFRIGERATED,10.5,CRITICAL,False,Tuesday,1,False,True
2025-01-21,Metropolitan Event Center,hist-sup-003,EVENT_VENUE,Food Surplus,58.73,kg,AMBIENT,39.6,LOW,False,Tuesday,1,False,True
2025-01-21,Sunrise University Canteen,hist-sup-004,INSTITUTION,Fresh Produce,111.62,kg,AMBIENT,38.3,MEDIUM,False,Tuesday,1,False,True
2025-01-21,Harvest Organic Market,hist-sup-005,INSTITUTION,Fresh Produce,81.9,kg,AMBIENT,34.0,LOW,False,Tuesday,1,False,True
2025-01-21,The Riverside Hotel,hist-sup-006,HOTEL,Cooked Meals,25.49,kg,REFRIGERATED,8.4,MEDIUM,False,Tuesday,1,False,True
2025-01-22,Grand Horizon Hotel,hist-sup-001,HOTEL,Food Surplus,75.15,kg,AMBIENT,36.1,MEDIUM,False,Wednesday,1,False,True
2025-01-22,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Bakery Items,36.96,kg,AMBIENT,27.0,MEDIUM,False,Wednesday,1,False,True
2025-01-22,Sunrise University Canteen,hist-sup-004,INSTITUTION,Cooked Meals,86.49,kg,REFRIGERATED,4.6,MEDIUM,False,Wednesday,1,False,True
2025-01-22,Harvest Organic Market,hist-sup-005,INSTITUTION,Bakery Items,17.86,kg,AMBIENT,23.2,MEDIUM,False,Wednesday,1,False,True
2025-01-22,The Riverside Hotel,hist-sup-006,HOTEL,Bakery Items,31.6,kg,AMBIENT,13.0,MEDIUM,False,Wednesday,1,False,True
2025-01-23,Grand Horizon Hotel,hist-sup-001,HOTEL,Food Surplus,31.72,kg,AMBIENT,17.2,MEDIUM,False,Thursday,1,False,True
2025-01-23,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Cooked Meals,69.47,kg,REFRIGERATED,4.3,HIGH,False,Thursday,1,False,True
2025-01-23,Sunrise University Canteen,hist-sup-004,INSTITUTION,Fresh Produce,43.19,kg,AMBIENT,52.1,MEDIUM,False,Thursday,1,False,True
2025-01-23,Harvest Organic Market,hist-sup-005,INSTITUTION,Fresh Produce,61.67,kg,AMBIENT,29.0,LOW,False,Thursday,1,False,True
2025-01-23,The Riverside Hotel,hist-sup-006,HOTEL,Bakery Items,24.18,kg,AMBIENT,34.7,HIGH,False,Thursday,1,False,True
2025-01-24,Grand Horizon Hotel,hist-sup-001,HOTEL,Food Surplus,41.33,kg,AMBIENT,38.9,HIGH,False,Friday,1,False,True
2025-01-24,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Cooked Meals,55.39,kg,REFRIGERATED,8.3,MEDIUM,False,Friday,1,False,True
2025-01-24,Sunrise University Canteen,hist-sup-004,INSTITUTION,Fresh Produce,105.08,kg,AMBIENT,50.4,HIGH,False,Friday,1,False,True
2025-01-24,Harvest Organic Market,hist-sup-005,INSTITUTION,Bakery Items,8.61,kg,AMBIENT,35.4,MEDIUM,False,Friday,1,False,True
2025-01-24,The Riverside Hotel,hist-sup-006,HOTEL,Cooked Meals,54.73,kg,REFRIGERATED,5.8,CRITICAL,False,Friday,1,False,True
2025-01-25,Grand Horizon Hotel,hist-sup-001,HOTEL,Cooked Meals,144.43,kg,REFRIGERATED,5.2,CRITICAL,False,Saturday,1,True,True
2025-01-25,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Bakery Items,19.43,kg,AMBIENT,23.0,LOW,False,Saturday,1,True,True
2025-01-25,Sunrise University Canteen,hist-sup-004,INSTITUTION,Cooked Meals,127.15,kg,REFRIGERATED,6.2,HIGH,False,Saturday,1,True,True
2025-01-25,Harvest Organic Market,hist-sup-005,INSTITUTION,Bakery Items,44.2,kg,AMBIENT,26.1,CRITICAL,False,Saturday,1,True,True
2025-01-25,The Riverside Hotel,hist-sup-006,HOTEL,Cooked Meals,97.03,kg,REFRIGERATED,7.9,MEDIUM,False,Saturday,1,True,True
2025-01-26,Grand Horizon Hotel,hist-sup-001,HOTEL,Food Surplus,113.57,kg,AMBIENT,35.9,MEDIUM,False,Sunday,1,True,True
2025-01-26,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Bakery Items,8.49,kg,AMBIENT,29.9,MEDIUM,False,Sunday,1,True,True
2025-01-26,The Riverside Hotel,hist-sup-006,HOTEL,Cooked Meals,109.62,kg,REFRIGERATED,8.7,HIGH,False,Sunday,1,True,True
2025-01-27,Grand Horizon Hotel,hist-sup-001,HOTEL,Food Surplus,44.96,kg,AMBIENT,44.4,LOW,False,Monday,1,False,True
2025-01-27,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Cooked Meals,14.34,kg,REFRIGERATED,9.0,MEDIUM,False,Monday,1,False,True
2025-01-27,Metropolitan Event Center,hist-sup-003,EVENT_VENUE,Cooked Meals,141.74,kg,REFRIGERATED,10.9,MEDIUM,False,Monday,1,False,True
2025-01-27,Sunrise University Canteen,hist-sup-004,INSTITUTION,Fresh Produce,143.12,kg,AMBIENT,54.3,HIGH,False,Monday,1,False,True
2025-01-27,Harvest Organic Market,hist-sup-005,INSTITUTION,Fresh Produce,66.44,kg,AMBIENT,28.7,MEDIUM,False,Monday,1,False,True
2025-01-27,The Riverside Hotel,hist-sup-006,HOTEL,Bakery Items,16.0,kg,AMBIENT,19.8,LOW,False,Monday,1,False,True
2025-01-28,Grand Horizon Hotel,hist-sup-001,HOTEL,Food Surplus,52.11,kg,AMBIENT,29.2,MEDIUM,False,Tuesday,1,False,True
2025-01-28,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Cooked Meals,18.14,kg,REFRIGERATED,9.5,MEDIUM,False,Tuesday,1,False,True
2025-01-28,Sunrise University Canteen,hist-sup-004,INSTITUTION,Fresh Produce,75.63,kg,AMBIENT,56.0,HIGH,False,Tuesday,1,False,True
2025-01-28,Harvest Organic Market,hist-sup-005,INSTITUTION,Bakery Items,32.35,kg,AMBIENT,20.3,MEDIUM,False,Tuesday,1,False,True
2025-01-28,The Riverside Hotel,hist-sup-006,HOTEL,Bakery Items,49.51,kg,AMBIENT,23.0,MEDIUM,False,Tuesday,1,False,True
2025-01-29,Grand Horizon Hotel,hist-sup-001,HOTEL,Food Surplus,39.68,kg,AMBIENT,19.8,MEDIUM,False,Wednesday,1,False,True
2025-01-29,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Bakery Items,14.73,kg,AMBIENT,25.6,MEDIUM,False,Wednesday,1,False,True
2025-01-29,Sunrise University Canteen,hist-sup-004,INSTITUTION,Fresh Produce,158.43,kg,AMBIENT,35.0,HIGH,False,Wednesday,1,False,True
2025-01-29,Harvest Organic Market,hist-sup-005,INSTITUTION,Fresh Produce,72.34,kg,AMBIENT,56.5,MEDIUM,False,Wednesday,1,False,True
2025-01-29,The Riverside Hotel,hist-sup-006,HOTEL,Cooked Meals,95.03,kg,REFRIGERATED,6.5,MEDIUM,False,Wednesday,1,False,True
2025-01-30,Grand Horizon Hotel,hist-sup-001,HOTEL,Cooked Meals,26.31,kg,REFRIGERATED,6.4,HIGH,False,Thursday,1,False,True
2025-01-30,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Cooked Meals,65.97,kg,REFRIGERATED,8.0,MEDIUM,False,Thursday,1,False,True
2025-01-30,Sunrise University Canteen,hist-sup-004,INSTITUTION,Fresh Produce,132.86,kg,AMBIENT,38.2,HIGH,False,Thursday,1,False,True
2025-01-30,Harvest Organic Market,hist-sup-005,INSTITUTION,Bakery Items,49.98,kg,AMBIENT,32.6,MEDIUM,False,Thursday,1,False,True
2025-01-30,The Riverside Hotel,hist-sup-006,HOTEL,Food Surplus,89.74,kg,AMBIENT,39.6,LOW,False,Thursday,1,False,True
2025-01-31,Grand Horizon Hotel,hist-sup-001,HOTEL,Food Surplus,85.18,kg,AMBIENT,23.2,MEDIUM,False,Friday,1,False,True
2025-01-31,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Cooked Meals,34.94,kg,REFRIGERATED,9.0,CRITICAL,False,Friday,1,False,True
2025-01-31,Sunrise University Canteen,hist-sup-004,INSTITUTION,Cooked Meals,53.25,kg,REFRIGERATED,9.2,MEDIUM,False,Friday,1,False,True
2025-01-31,Harvest Organic Market,hist-sup-005,INSTITUTION,Fresh Produce,54.91,kg,AMBIENT,47.6,LOW,False,Friday,1,False,True
2025-01-31,The Riverside Hotel,hist-sup-006,HOTEL,Cooked Meals,41.58,kg,REFRIGERATED,9.6,MEDIUM,False,Friday,1,False,True
2025-02-01,Grand Horizon Hotel,hist-sup-001,HOTEL,Cooked Meals,230.55,kg,REFRIGERATED,9.2,HIGH,False,Saturday,2,True,True
2025-02-01,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Bakery Items,6.42,kg,AMBIENT,34.8,HIGH,False,Saturday,2,True,True
2025-02-01,Metropolitan Event Center,hist-sup-003,EVENT_VENUE,Cooked Meals,170.18,kg,REFRIGERATED,11.8,MEDIUM,False,Saturday,2,True,True
2025-02-01,Sunrise University Canteen,hist-sup-004,INSTITUTION,Cooked Meals,171.26,kg,REFRIGERATED,4.7,MEDIUM,False,Saturday,2,True,True
2025-02-01,Harvest Organic Market,hist-sup-005,INSTITUTION,Fresh Produce,25.56,kg,AMBIENT,40.0,CRITICAL,False,Saturday,2,True,True
2025-02-01,The Riverside Hotel,hist-sup-006,HOTEL,Cooked Meals,30.74,kg,REFRIGERATED,5.7,CRITICAL,False,Saturday,2,True,True
2025-02-02,Grand Horizon Hotel,hist-sup-001,HOTEL,Cooked Meals,148.24,kg,REFRIGERATED,8.8,MEDIUM,False,Sunday,2,True,True
2025-02-02,The Riverside Hotel,hist-sup-006,HOTEL,Cooked Meals,32.96,kg,REFRIGERATED,8.7,LOW,False,Sunday,2,True,True
2025-02-03,Grand Horizon Hotel,hist-sup-001,HOTEL,Cooked Meals,134.95,kg,REFRIGERATED,8.2,HIGH,False,Monday,2,False,True
2025-02-03,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Bakery Items,23.61,kg,AMBIENT,34.7,LOW,False,Monday,2,False,True
2025-02-03,Sunrise University Canteen,hist-sup-004,INSTITUTION,Fresh Produce,90.98,kg,AMBIENT,70.3,LOW,False,Monday,2,False,True
2025-02-03,Harvest Organic Market,hist-sup-005,INSTITUTION,Bakery Items,23.99,kg,AMBIENT,22.6,HIGH,False,Monday,2,False,True
2025-02-03,The Riverside Hotel,hist-sup-006,HOTEL,Cooked Meals,24.63,kg,REFRIGERATED,6.2,HIGH,False,Monday,2,False,True
2025-02-04,Grand Horizon Hotel,hist-sup-001,HOTEL,Food Surplus,76.86,kg,AMBIENT,28.2,MEDIUM,False,Tuesday,2,False,True
2025-02-04,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Cooked Meals,58.46,kg,REFRIGERATED,9.2,HIGH,False,Tuesday,2,False,True
2025-02-04,Sunrise University Canteen,hist-sup-004,INSTITUTION,Fresh Produce,102.65,kg,AMBIENT,43.1,MEDIUM,False,Tuesday,2,False,True
2025-02-04,Harvest Organic Market,hist-sup-005,INSTITUTION,Bakery Items,32.92,kg,AMBIENT,21.0,LOW,False,Tuesday,2,False,True
2025-02-04,The Riverside Hotel,hist-sup-006,HOTEL,Cooked Meals,27.37,kg,REFRIGERATED,10.0,MEDIUM,False,Tuesday,2,False,True
2025-02-05,Grand Horizon Hotel,hist-sup-001,HOTEL,Cooked Meals,99.82,kg,REFRIGERATED,8.5,MEDIUM,False,Wednesday,2,False,True
2025-02-05,Bistro Verde Restaurant,hist-sup-002,RESTAURANT,Bakery Items,36.87,kg,AMBIENT,34.0,LOW,False,Wednesday,2,False,True
2025-02-05,Sunrise University Canteen,hist-sup-004,INSTITUTION,Cooked Meals,59.14,kg,REFRIGERATED,5.7,HIGH,False,Wednesday,2,False,True
